V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
h,h,h,h,h,h,h,h,f,f,ATD,ProctorDining,ProctorDining,f,f,f,ProctorDining,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,WNS,f,f,f,ATD,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,ProctorDining,f,WNS,f,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,RCD,ProctorDining,f,ATA,FIC,ATD,RCD,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,CHT,MBH,ATD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,MBH,WNS,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,CHT,f,ATD,ATD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,CHT,f,MBH,ProctorDining,ATD,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,MNR,LIB,MBH,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,MBH,RCD,RCD,ATD,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,MBH,f,MNR,AXT,AXT,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,CHT,ATD,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,GFD,AXN,RCD,RCD,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,f,MNR,ProctorDining,ATD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,WNS,SDL,MCA,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,ATD,MBH,HLD,f,ProctorDining,MBH,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,AXN,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,WNS,GFD,f,f,f,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,HLD,f,AXN,RCD,f,f,f,f,f,ProctorDining,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,MNR,AXN,f,RCD,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,MBH,f,ProctorDining,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,MBH,f,f,ProctorDining,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,HPB,MBH,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,RCD,RCD,f,MBH,HLD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,ProctorDining,f,ATD,MNR,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,ProctorDining,h,ATD,PRS,MBH,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,RCD,f,AXN,f,ATD,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,RCD,MNR,f,f,f,f,f,f,f,RCD,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,f,f,ATD,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,ProctorDining,h,MBH,f,MBH,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,MCA,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,ATD,MBH,f,ATD,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,ATD,WNS,MNR,MBH,f,ProctorDining,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,f,WTH,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,RCD,WNS,f,ATD,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MNR,f,f,ATD,ATD,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,MBH,ATD,ATD,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,AXN,RCD,ProctorDining,f,MBH,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,SDL,MBH,WNS,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MNR,f,f,ProctorDining,ProctorDining,AXN,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,LIB,MBH,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,MBH,f,ProctorDining,RCD,f,f,f,f,ProctorDining,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,ATD,AXN,AXT,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,WNS,AXN,f,f,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,MNR,f,f,f,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,RCD,ProctorDining,AXN,MBH,ATD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,MBH,f,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,MCA,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,SDL,AXT,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,CHT,f,MBH,ATD,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,OCH,MBH,JHN,WNS,f,f,WNS,f,f,ProctorDining,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,MBH,MCA,f,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,f,f,ProctorDining,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,AXT,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,RCD,f,MBH,f,ProctorDining,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,WTH,MCA,MNR,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,GFD,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,f,WNS,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,ATD,MCA,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,f,RCD,RCD,f,f,f,f,RCD,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,f,f,ProctorDining,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,MCA,f,ATD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,WNS,ProctorDining,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,f,AXN,ATD,f,MCA,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,AXT,MBH,MBH,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,f,MNR,ATD,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,WNS,MCA,f,ProctorDining,RCD,MBH,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,ProctorDining,AXN,f,f,AXT,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,RCD,f,f,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,RCD,RCD,MBH,ATD,MBH,AXT,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,ProctorDining,RCD,f,f,f,f,f,ProctorDining,RCD,f,f,f,f,h
h,h,h,h,h,h,ATD,ProctorDining,AXN,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,AXT,f,ProctorDining,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,AXT,f,RCD,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,HLD,LIB,ProctorDining,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,MBH,ATD,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,MBH,HLD,f,ATD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,MCA,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,ATD,h,AXN,MBH,HLD,ATD,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,AXT,MBH,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,MBH,f,LIB,f,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,MBH,AXN,f,ATD,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,f,FIC,MCA,f,f,GFD,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,ProctorDining,WNS,f,ProctorDining,RCD,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,ATD,f,f,CHT,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,MBH,ATD,CHT,ProctorDining,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,RCD,h,MBH,f,CHT,f,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,MNR,f,f,f,AXT,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,MNR,MBH,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,RCD,RCD,SDL,LIB,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,ATD,h,f,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,GFD,f,ProctorDining,f,AXN,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ATD,MCA,MBH,RCD,f,f,f,f,ProctorDining,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,ATD,f,ATD,f,ATD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,CHT,f,ProctorDining,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,RCD,f,f,f,MBH,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,MBH,f,MBH,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,MBH,AXT,f,f,MCA,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,ATD,RCD,f,AXN,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,MNR,FIC,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,AXT,ProctorDining,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,ATD,ATD,ProctorDining,MBH,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,MCA,MBH,f,ATD,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
