V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
h,h,h,h,h,h,h,ProctorDining,f,f,WNS,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,AXN,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,MBH,RCD,f,MBH,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,ATD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,MBH,f,f,MCA,f,f,f,MBH,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MBH,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,f,ATD,f,f,MBH,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,ATD,ProctorDining,ProctorDining,f,f,ATD,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,ATD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,AXN,f,f,MCA,RCD,f,f,LIB,f,RCD,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,f,MBH,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,RCD,ATD,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MBH,f,f,f,AXN,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,RCD,f,RCD,f,OCH,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MBH,RCD,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,WNS,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,f,CHT,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MBH,RCD,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,RCD,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,RCD,h,f,f,LIB,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MNR,f,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,AXT,GFD,RCD,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,f,FIC,f,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,ATD,ProctorDining,RCD,f,MBH,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,RCD,f,MBH,ProctorDining,ProctorDining,f,WNS,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,RCD,f,AXT,f,ProctorDining,f,f,f,RCD,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,f,f,RCD,f,f,f,f,RCD,f,f,f,f,f,f,h
h,h,h,h,h,h,ProctorDining,AXN,f,f,f,f,RCD,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,ProctorDining,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,RCD,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,RCD,f,ProctorDining,f,ProctorDining,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,RCD,ATD,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,f,RCD,ATD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,CHT,ProctorDining,ProctorDining,f,MBH,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,JHN,ProctorDining,ProctorDining,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,AXN,ATD,f,ADK,f,ProctorDining,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MCA,ATD,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,ATD,ATD,f,RCD,f,ProctorDining,f,f,f,ProctorDining,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,AXN,f,f,f,WNS,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,RCD,ATD,f,f,LIB,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,RCD,f,f,RCD,RCD,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,RCD,f,f,MCA,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,AXN,ATD,ProctorDining,f,f,f,f,ProctorDining,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,f,RCD,ProctorDining,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MNR,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,RCD,ATD,ProctorDining,f,LIB,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,RCD,f,f,SDL,ProctorDining,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,ProctorDining,h,ATD,f,f,ATD,ProctorDining,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,f,RCD,f,f,AXN,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,ATD,f,f,ATD,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,f,f,RCD,ProctorDining,f,MNR,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,AXT,RCD,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,MFH,f,f,CHT,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,RCD,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,RCD,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,AXT,RCD,f,f,f,f,RCD,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MCA,ATD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,ATD,f,f,WNS,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,MBH,f,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,ProctorDining,h,f,f,WNS,ProctorDining,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MCA,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,ATD,f,f,f,f,RCD,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,f,f,RCD,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,f,f,RCD,ATD,f,FIC,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,MBH,RCD,f,f,f,f,RCD,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,f,RCD,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,AXN,RCD,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,ProctorDining,f,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,AXN,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,f,f,ProctorDining,f,f,f,RCD,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,MBH,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,ProctorDining,ATD,f,f,AXN,ProctorDining,f,f,f,f,RCD,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,ProctorDining,ProctorDining,f,MBH,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,GFD,f,f,f,f,f,RCD,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,f,f,f,f,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,ATD,f,f,f,ProctorDining,ProctorDining,f,AXT,f,f,f,f,f,f,f,f,h
